Name,Rating,Reviews,Location,Type
APDCL (Assam Power Distribution Company Ltd),3.5,2500,Paltan Bazar / Bijulee Bhawan,Electricity Provider
GMC Water Works,3.2,150,Pan Bazaar,Water Supply
Jal Board (Guwahati Jal Board),3.8,420,"Saikia Commercial Complex, Christian Basti",Water Supply
"APDCL Sub-division Office, Ulubari",3.6,85,Ulubari,Electricity Provider
"APDCL Sub-division Office, Dispur",3.4,120,Dispur,Electricity Provider
GMC Garbage Collection Center,3.0,45,Ulubari,Waste Management
Guwahati Waste Management Unit,3.3,60,Boragaon,Waste Management
AEGCL (Assam Electricity Grid Corporation Ltd),4.0,310,Paltan Bazar,Electricity Transmission
GMC Conservancy Branch,3.1,28,Lachit Nagar,Waste Management
Urban Health & Sanitation Office,3.5,15,Panjabari,Waste Management
Satgaon Water Supply Scheme,3.7,42,Satgaon,Water Supply
APDCL Call Center / Helpline,2.8,850,Guwahati (Centralized),Utility Support
