Office Name,Rating,Reviews,Type,Location
Guwahati Municipal Office,4.1,9,Government office,5QG6+53C
Assam Secretariat,4.2,319,State government office,"Janata Bhawan, GS Rd"
The Guwahati Municipal Corporation,3.5,4,Government office,"City Mission Management Unit, NULM · 0361 273 0437"
A. G. Office,3.8,133,Central Government Office,"Nagar, Assam · 086381 24716"
Guwahati Municipal Corporation Head Office Assam,5.0,4,Central Government Office,4QWQ+9H5
Office of the Kamrup District Commissioner,4.3,107,Government office,5MVF+877 · 0361 268 4404
"Central Warehousing Corporation, Regional Office - Guwahati",4.0,17,Government office,"Gate No. 01, Head Quarter, Assam Trunk Rd, opp. Northeast Frontier Railway · 0361 222 9300"
Guwahati Metropolitan Development Authority,4.3,162,State government office,"3rd Floor, STATFED Building, GMC Hospital Rd · 0361 252 9824"
Guwahati Municipal Corporation,2.2,20,Government office,"5QJ4+HG9, Bhubneswar Barua Road, near Hotel Prince B"
Office Of District Commissioner: Kamrup (Metro),3.9,231,Government office,"Guwahati, Assam · 0361 254 0149"
Guwahati Station GRP Office,4.3,38,Government office,5PJX+XXW
Office Of The Circle Officer,2.8,5,Government office,"5MRF+X42, Indoor Stadium Road · 095080 48380"
Central Public Works Department,4.3,13,Public works department,"4P88+34V, National Highway 37 · 0361 227 0321"
"Guwahati Municipal Corporation, Dispur Zonal Office",3.6,25,Local government office,"22, Chinaki Path"
"Directorate Of Census Operations,Assam (under O/o the RGI, MHA, Govt. of India)",4.9,7,Government office,Directorate of Census Operations · 0361 252 4396
Office Of The Joint Director of Health Services,3.8,15,State government office,"5MRG+X5M, Barpeta-Hajo-Guwahati Rd"
"Office Of The Commissioner, Panchayat & Rural Development Department, Assam",3.8,31,Local government office,"4RM9+437, Panjabari Rd · 094350 88752"
North Guwahati Municipal Board,5.0,1,Government office,5PVC+9PQ
"Unique Identification Authority of India, Guwahati",2.6,68,Central Government Office,"Housefed Complex, Last Gate · 0361 222 1819"
Guwahati Municipal Corporation Office commissioner,3.3,18,Local government office,"Riverfront, behind SBI"
GMC TAX OFFICE,3.7,13,Tax department,"Second Floor, Hotel Bhargav, NH-37"
"Office of the Chief engineer, Irrigation Department Assam",4.3,38,State government office,2nd · 0361 223 7021
"Directorate of Employment & Craftsmen Training,Assam",3.8,41,Government office,"5PFX+29P, AK Azad Rd, opposite old ITI, near MA Path"
Integrated District Office,4.4,10,Government office,"5MVF+753, DC Office Road"
Secretariat Administration Department,4.5,31,Government office,4QVR+59P
"Passport Seva Kendra, Guwahati",3.9,592,Passport office,"Ground and First Floor, Subham Velocit, GS Rd · 1800 258 1800"
Bhujal Bhavan,4.3,13,Central Government Office,"4P7F+Q2M, ISBT Flyover"
Office Of The Executive Engineer PWD Guwahati Road Division,4.3,11,State government office,"5PMQ+F9M, MG Rd · 0361 223 7021"
"Range Forest Office, Guwahati Range",5.0,2,Government office,5PCG+J5
"Directorate Of Food, Civil Supplies And Consumer Affairs",3.7,15,Government office,"5Q88+6WP, GS Rd"
"Directorate of Social Justice and Empowerment, Assam",4.8,9,Government office,4Q9X+7VH
Assam State Development Corporation For Other Backward Classes Ltd.,3.9,7,State government office,5P8X+V2C
"Office of the Commissioner of Police, Guwahati",5.0,3,Government office,"5PQW+7G9, Ananda Ram Baruah Rd"
Guwahati Municipal Corporation Lokhra Zone,5.0,1,Central Government Office,4P6X+VQ5
DCP office,4.7,11,Government office,"5M59+2W3, University"
Office of the Commissioner of Lower Assam Division,4.8,4,Government office,"5PQW+6H7, 01"
CDA GUWAHATI,4.4,56,Government office,"OFFICE OF THE CONTROLLER OF DEFENCE ACCOUNTS, UDAYAN VIHAR, NARANGI · 0361 264 0394"
"EMPLOYEES' PROVIDENT FUND ORGANISATION, REGIONAL OFFICE, GUWAHATI",3.9,605,State government office,"Bhavishyanidhi Bhawan, Bharalu Bridge, GS Rd · 0361 245 1510"
Assam Minorities Development Board,4.7,3,Government office,"5Q3M+6VW, RG Baruah Rd · 076359 98002"
Assam Tourism Development Corporation Ltd,3.8,47,Government office,"4th Floor, Assam Tourism, AK Azad Rd · 0361 263 3654"
Raj Bhavan,4.4,80,Government office,"5QX8+477, MG Rd · 0361 254 0500"
General Administration Department,5.0,1,Government office,4QVR+3CV
"Directorate of Economics And Statistics, Assam",4.6,23,State government office,"4RC3+9WW, Tripura Rd · 0361 226 5264"
"Conservancy Branch,Div-II, Guwahati Municipal Corporation",0.0,0,Government office,5QG6+53C
