Hospital Name,Rating,Reviews,Location,Type
Apollo Hospitals,4.6,14000,Ganeshguri,Hospital
Narayana Hospital Guwahati,4.8,9700,Greenland Road,Hospital
Peerless Hospital,4.8,140,Bhabananda Boro Path,Hospital
Swagat Super Speciality Hospital,4.2,1100,Kamakhya,Hospital
North Guwahati Multi-speciality Hospital,3.8,63,DC Office Road,General hospital
Hayat Hospital,4.7,14300,Kahilipara Main Rd,Hospital
Apollo Excelcare Hospital,4.7,13500,NH-37,Hospital
Nemcare Multispeciality Hospital,5.0,12,GS Rd,Hospital
GNRC Medical North Guwahati,4.8,7000,IIT Road,Hospital
Arya Hospital,4.0,569,Ulubari,Private hospital
HEALTH CITY HOSPITAL,3.3,1400,Khanapara,Private hospital
Wintrobe Hospital,4.2,271,Uzan Bazar,Hospital
Peerless Hospital (Ayursundra),4.1,1200,Guwahati,Private hospital
Sanjevani Hospital,3.4,352,Kamakhya,General hospital
Patna Orthopaedic And Multispeciality,3.2,62,Guwahati,Hospital
GNRC Hospitals Dispur Unit,4.7,8400,Guwahati,Hospital
Nemcare Super Speciality Hospital,3.8,2400,Guwahati,Hospital
Dispur Hospital,4.2,1700,GMC Ward Number 44,Hospital
St. John's Hospital,3.8,118,Guwahati,General hospital
MARWARI HOSPITALS,3.9,770,Guwahati,Hospital
GATE Hospital,4.1,603,Zoo-Narengi Rd,Hospital
Agile Hospitals Private Limited,3.9,482,Khanapara,Private hospital
Gauhati Medical College and Hospital,3.6,738,Narakasur Hilltop,Hospital
Guwahati Metro Hospital,3.8,502,Khanapara,Hospital
down town hospital,3.9,1400,GS Rd,Private hospital
Satribari Christian Hospital,3.8,153,Chatribari Rd,Hospital
GNRC Good Health Hospital,4.8,143,GS Rd,Private hospital
Tolaram Bafna Civil Hospital,3.5,61,National Highway 31,Hospital
Gauhati University Hospital,3.9,40,Jalukbari,University hospital
Global Hospital of Surgery,3.7,217,Dargah Rd,General hospital
Sun Valley Hospital,4.2,402,Guwahati,General hospital
Super Speciality Hospital GMCH,3.9,87,Guwahati,Hospital
Dispur Polyclinic and Hospitals Pvt.,4.1,1200,GMC Ward Number 44,Hospital
Cancer Hospital And Research Center,2.9,8,Ulubari,Hospital
Mahendra Mohan Choudhury Hospital,3.9,182,Fancy Bazaar,Government hospital
ABM Medicos,4.1,38,Guwahati,Pharmacy
